DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Dec-25,EQ,"1,028.00","1,033.60","1,017.00","1,028.20","1,018.00","1,020.70","1,023.58","1,210.50",758,1263636,"1,29,34,37,602.40",27231
16-Dec-25,EQ,"1,044.00","1,044.00","1,022.20","1,047.60","1,023.90","1,028.20","1,030.74","1,210.50",758,1086779,"1,12,01,89,516.10",25248
15-Dec-25,EQ,"1,044.70","1,058.70","1,038.90","1,040.20","1,043.90","1,047.60","1,049.26","1,210.50",758,2027683,"2,12,75,64,886.30",38412
12-Dec-25,EQ,"1,024.00","1,042.00","1,024.00","1,018.80","1,038.20","1,040.20","1,036.86","1,252.30",758,2615096,"2,71,14,76,815.90",38101
11-Dec-25,EQ,995,"1,026.40",975,989.8,"1,024.00","1,018.80",999.34,"1,252.30",758,5927384,"5,92,34,68,451.30",59758
10-Dec-25,EQ,"1,014.90","1,027.80",981,998.9,987.5,989.8,"1,006.69","1,252.30",758,3913329,"3,93,94,99,544.50",118798
09-Dec-25,EQ,993.9,"1,010.50",980.6,993.8,"1,010.50",998.9,997.26,"1,252.30",758,2593247,"2,58,61,35,346.70",62276
08-Dec-25,EQ,"1,016.10","1,021.00",990,"1,017.70",994,993.8,"1,000.81","1,252.30",758,1311474,"1,31,25,39,566.00",44065
05-Dec-25,EQ,"1,013.10","1,022.50","1,005.10","1,013.40","1,018.10","1,017.70","1,013.04","1,447.70",758,1190798,"1,20,63,27,945.00",59608
04-Dec-25,EQ,"1,013.80","1,027.10","1,006.80","1,012.60","1,012.10","1,013.40","1,015.90","1,447.70",758,1349599,"1,37,10,59,135.50",41314
03-Dec-25,EQ,"1,024.00","1,027.30","1,004.20","1,022.60","1,018.00","1,012.60","1,014.67","1,447.70",758,1508973,"1,53,11,05,321.80",76711
02-Dec-25,EQ,"1,038.60","1,040.70","1,017.70","1,039.60","1,024.20","1,022.60","1,026.64","1,447.70",758,1544253,"1,58,53,87,661.90",106457
